#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Precentage
29.0,Philippines,469886,,9109.0,,438678.0,22099.0,708.0,4260.0,83.0,6667195.0,60450.0,110292627.0,0.4260357312914489
30.0,Morocco,432079,,7240.0,,398060.0,26779.0,795.0,11639.0,195.0,4394830.0,118382.0,37124246.0,1.1638727962313362
31.0,Switzerland,428197,,7210.0,,317600.0,103387.0,436.0,49299.0,830.0,3476677.0,400279.0,8685645.0,4.929938997046276
32.0,Israel,401470,,3226.0,,364012.0,34232.0,587.0,43649.0,351.0,7628632.0,829416.0,9197590.0,4.364947774362632
33.0,Sweden,396048,,8279.0,,,,302.0,39096.0,817.0,4272532.0,421764.0,10130157.0,3.9095938986927843
34.0,Portugal,394573,,6619.0,,319746.0,68208.0,504.0,38752.0,650.0,5323341.0,522817.0,10182028.0,3.8751906791063626
35.0,Saudi Arabia,362220,,6185.0,,353179.0,2856.0,391.0,10326.0,176.0,10872920.0,309965.0,35077896.0,1.0326160953325136
36.0,Austria,351892,,5881.0,,323002.0,23009.0,414.0,38962.0,651.0,3757237.0,416009.0,9031617.0,3.8962236773326415
37.0,Serbia,326060,,3030.0,,31536.0,291494.0,305.0,37392.0,347.0,2242785.0,257201.0,8719979.0,3.7392291885106608
38.0,Hungary,316060,,9047.0,,130420.0,176593.0,467.0,32758.0,938.0,2610590.0,270577.0,9648241.0,3.275830278285959
